A_local,B_global,shapeTani_A_to_B,shapeTani_B_to_A,shapeTani_symmetric_mean,shapeTani_asymmetry,shapeProtrude_A_from_B,shapeProtrude_B_from_A,centroid_dist_AB_Angstrom,nHeavy_A,nHeavy_B,delta_nHeavy_B_minus_A,abs_delta_nHeavy,A_sdf,B_sdf,rdkit_version
x0072,x1093,0.8126123427201918,0.8123320394147506,0.8124721910674713,0.0002803033054411541,0.6319505736981466,0.6311619718309859,4.403464383391821,13,19,6,6,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x0305,x1093,0.8220393675379155,0.8226171243941842,0.8223282459660499,0.0005777568562687074,0.5992005813953488,0.6020297209133744,4.189558267928619,11,19,8,8,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x1093,x0305,0.8226171243941842,0.8220393675379155,0.8223282459660499,0.0005777568562687074,0.6020297209133744,0.5992005813953488,4.189558267928619,19,11,-8,8,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0354,x0072,0.8295047732696897,0.8309272213126954,0.8302159972911926,0.0014224480430056197,0.6629312887053966,0.6667644470519214,3.7011656552069137,18,13,-5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
x0072,x0354,0.8309272213126954,0.8295047732696897,0.8302159972911926,0.0014224480430056197,0.6667644470519214,0.6629312887053966,3.7011656552069137,13,18,5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x1093,x2193,0.8620185922974768,0.862695338586884,0.8623569654421803,0.0006767462894071707,0.7429490351311232,0.7424849699398798,3.627337663405111,19,16,-3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x2193,x1093,0.862695338586884,0.8620185922974768,0.8623569654421803,0.0006767462894071707,0.7424849699398798,0.7429490351311232,3.627337663405111,16,19,3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x0434,x2193,0.8743515850144092,0.8750359919378059,0.8746937884761076,0.0006844069233966632,0.7693121693121693,0.7713382507903056,3.5649489028157926,16,16,0,0,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x2193,x0434,0.8750359919378059,0.8743515850144092,0.8746937884761076,0.0006844069233966632,0.7713382507903056,0.7693121693121693,3.5649489028157926,16,16,0,0,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x1093,x0354,0.8837931891623166,0.8847834227936587,0.8842883059779877,0.0009902336313420967,0.7898404135760845,0.7924443445019114,5.759902425203429,19,18,-1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0354,x1093,0.8847834227936587,0.8837931891623166,0.8842883059779877,0.0009902336313420967,0.7924443445019114,0.7898404135760845,5.759902425203429,18,19,1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x1093__5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20/5RF7_Mpro-x1093_AAR-POS-d2a4d1df-20_ligand.sdf,2025.09.6
x0354,x0874,0.8863023420865862,0.8876724015356178,0.886987371811102,0.0013700594490315687,0.7625259412985473,0.7670303745207904,4.424843288345407,18,13,-5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,2025.09.6
x2193,x0305,0.8868793160144689,0.8870545930042497,0.8869669545093593,0.00017527698978081485,0.7508149221296632,0.750990990990991,2.2979377596341966,16,11,-5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0305,x2193,0.8870545930042497,0.8868793160144689,0.8869669545093593,0.00017527698978081485,0.750990990990991,0.7508149221296632,2.2979377596341966,11,16,5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x0874,x0354,0.8876724015356178,0.8863023420865862,0.886987371811102,0.0013700594490315687,0.7670303745207904,0.7625259412985473,4.424843288345407,13,18,5,5,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0354,x2193,0.9041769041769042,0.9045589564768177,0.904367930326861,0.00038205229991350453,0.8167202572347267,0.8169432747089422,3.4004457065554115,18,16,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x2193,x0354,0.9045589564768177,0.9041769041769042,0.904367930326861,0.00038205229991350453,0.8169432747089422,0.8167202572347267,3.4004457065554115,16,18,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0434,x0354,0.9081646155881964,0.9098457888493475,0.909005202218772,0.0016811732611511365,0.8176084099868594,0.8197628458498024,5.728725839155716,16,18,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
x0354,x0434,0.9098457888493475,0.9081646155881964,0.909005202218772,0.0016811732611511365,0.8197628458498024,0.8176084099868594,5.728725839155716,18,16,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0434__5R83_Mpro-x0434_AAR-POS-d2a4d1df-11/5R83_Mpro-x0434_AAR-POS-d2a4d1df-11_ligand.sdf,2025.09.6
x0874,x0397,0.9879926543297076,0.9886653442901672,0.9883289993099373,0.0006726899604595493,0.9748073503260225,0.9763103346165235,5.380225728882368,13,15,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x2193,x0397,0.988155668358714,0.9883192731992213,0.9882374707789676,0.00016360484050725876,0.9757785467128027,0.9761715647339158,5.13093782534461,16,15,-1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0397,x2193,0.9883192731992213,0.988155668358714,0.9882374707789676,0.00016360484050725876,0.9761715647339158,0.9757785467128027,5.13093782534461,15,16,1,1,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x2193__5RHD_Mpro-x2193_AAR-POS-5507155c-1/5RHD_Mpro-x2193_AAR-POS-5507155c-1_ligand.sdf,2025.09.6
x0397,x0874,0.9886653442901672,0.9879926543297076,0.9883289993099373,0.0006726899604595493,0.9763103346165235,0.9748073503260225,5.380225728882368,15,13,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0874__5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14/5REZ_Mpro-x0874_AAR-POS-d2a4d1df-14_ligand.sdf,2025.09.6
x0397,x0072,0.9938167509836987,0.9939716809196691,0.9938942159516839,0.00015492993597043814,0.9870740305522914,0.987315634218289,5.997878883211348,15,13,-2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,2025.09.6
x0072,x0397,0.9939716809196691,0.9938167509836987,0.9938942159516839,0.00015492993597043814,0.987315634218289,0.9870740305522914,5.997878883211348,13,15,2,2,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0072__5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1/5R7Y_Mpro-x0072_AAR-POS-d2a4d1df-1_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0305,x0397,1.0,1.0,1.0,0.0,1.0,1.0,6.621511294263199,11,15,4,4,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0354,x0397,1.0,1.0,1.0,0.0,1.0,1.0,7.5217632387954,18,15,-3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,2025.09.6
x0397,x0305,1.0,1.0,1.0,0.0,1.0,1.0,6.621511294263199,15,11,-4,4,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0305__5R82_Mpro-x0305_AAR-POS-d2a4d1df-5/5R82_Mpro-x0305_AAR-POS-d2a4d1df-5_ligand.sdf,2025.09.6
x0397,x0354,1.0,1.0,1.0,0.0,1.0,1.0,7.5217632387954,15,18,3,3,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0397__5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9/5RGI_Mpro-x0397_AAR-POS-d2a4d1df-9_ligand.sdf,/mnt/proyecto/data/mpro/prepared/silvr_xchem_hits/x0354__5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6/5RE9_Mpro-x0354_AAR-POS-d2a4d1df-6_ligand.sdf,2025.09.6
